GSM253663	N1-34
GSM253664	N1-06
GSM253665	N1-14
GSM253666	N1-35
GSM253667	N1-30
GSM253668	N1-33
GSM253669	N1-23
GSM253670	N1-32
GSM253671	N1-07
GSM253672	N1-11
GSM253673	N1-12
GSM253674	N1-03
GSM253675	N1-02
GSM253676	N1-01
GSM253677	N1-40
GSM253678	N1-41
GSM253679	N1-47
GSM253680	N1-39
GSM253681	N1-46
GSM253682	N1-49
GSM253683	N1-59
GSM253684	N1-51
GSM253685	N1-50
GSM253686	N2-06
GSM253687	N2-14
GSM253688	N2-36
GSM253689	N2-23
GSM253690	N2-32
GSM253691	N2-33
GSM253692	N2-34
GSM253693	N2-39
GSM253694	N2-07
GSM253695	N2-30
GSM253696	N2-11
GSM253697	N2-12
GSM253698	N2-01
GSM253699	N2-03
GSM253700	N2-02
GSM253701	N2-40
GSM253702	N2-41
GSM253703	N2-46
GSM253704	N2-47
GSM253705	N2-35
GSM253706	N2-49
GSM253707	N2-59
GSM253708	N2-51
GSM253709	N2-50
GSM253710	M-24
GSM253711	M-10
GSM253712	M-25
GSM253713	M-27
GSM253714	M-13
GSM253715	M-38
GSM253716	M-29
GSM253717	M-16
GSM253718	M-18
GSM253719	M-19
GSM253720	M-15
GSM253721	M-20
GSM253722	M-05
GSM253723	M-22
GSM253724	M-28
GSM253725	M-42
GSM253726	M-43
GSM253727	M-44
GSM253728	M-21
GSM253729	M-56
GSM253730	M-58
GSM253731	M-62
GSM253732	M-55
GSM253733	M-57
GSM253734	M-52
